code,date,ret_pct
600085.SH,2020-08-31,9.8373
600085.SH,2020-09-30,-9.1582
600085.SH,2020-10-31,-0.2965
600085.SH,2020-11-30,0
600085.SH,2020-12-31,-11.1524
600104.SH,2016-01-31,-12.2526
600104.SH,2016-02-29,-1.5575
600104.SH,2016-03-31,9.4381
600104.SH,2016-04-30,1.3958
600104.SH,2016-05-31,-0.2458
600104.SH,2016-06-30,0
600104.SH,2016-07-31,22.334
600104.SH,2016-08-31,-4.9505
600104.SH,2016-09-30,-1.0417
600104.SH,2016-10-31,8.3753
600104.SH,2016-11-30,6.6301
600104.SH,2016-12-31,-7.1287
600104.SH,2017-01-31,8.145
600104.SH,2017-02-28,1.6562
600104.SH,2017-03-31,-1.5516
600104.SH,2017-04-30,7.368
600104.SH,2017-05-31,10.3486
600104.SH,2017-06-30,8.9063
600104.SH,2017-07-31,-2.9308
600104.SH,2017-08-31,-1.3603
600104.SH,2017-09-30,1.5473
600104.SH,2017-10-31,4.3061
600104.SH,2017-11-30,-1.9371
600104.SH,2017-12-31,3.7565
600104.SH,2018-01-31,7.3346
600104.SH,2018-02-28,-2.1809
600104.SH,2018-03-31,1.0999
600104.SH,2018-04-30,-6.1158
600104.SH,2018-05-31,13.5296
600104.SH,2018-06-30,-3.4759
600104.SH,2018-07-31,-3.8692
600104.SH,2018-08-31,-8.5634
600104.SH,2018-09-30,14.1681
600104.SH,2018-10-31,-18.5397
600104.SH,2018-11-30,-8.3364
600104.SH,2018-12-31,7.3239
600104.SH,2019-01-31,-0.2625
600104.SH,2019-02-28,6.4662
600104.SH,2019-03-31,-7.9449
600104.SH,2019-04-30,5.0249
600104.SH,2019-05-31,-12.5274
600104.SH,2019-06-30,6.4718
600104.SH,2019-07-31,2.469
600104.SH,2019-08-31,0.9662
600104.SH,2019-09-30,-5.1834
600104.SH,2019-10-31,-1.1775
600104.SH,2019-11-30,-1.0638
600104.SH,2019-12-31,2.5806
600104.SH,2020-01-31,-5.1992
600104.SH,2020-02-29,-1.7691
600104.SH,2020-03-31,-7.6992
